,train_valid,valid_test,>0,>0.5,,
20171231_201020,0.725241256,0.87967513,TRUE,TRUE,296,56
20161231_601010,0.874398465,0.837544718,TRUE,TRUE,69,309
20180930_552010,0.611586,0.783581029,TRUE,TRUE,,
20170930_601010,0.576871747,0.778897585,TRUE,TRUE,,
20170630_601010,0.566012991,0.742984734,TRUE,TRUE,,
20170630_302020,0.638654003,0.742668086,TRUE,TRUE,,
20170331_301010,0.325095939,0.698831813,TRUE,TRUE,,
20150930_502030,0.718519918,0.697362741,TRUE,TRUE,,
20160331_302020,0.574358788,0.697203667,TRUE,TRUE,,
20160630_601010,0.650218754,0.693235511,TRUE,TRUE,,
20160331_601010,0.580871728,0.692636408,TRUE,TRUE,,
20160930_601010,0.522394235,0.687651155,TRUE,TRUE,,
20160930_101020,0.627492003,0.685421256,TRUE,TRUE,,
20140630_302020,0.561220375,0.683215124,TRUE,TRUE,,
20140331_101020,0.432600965,0.678132075,TRUE,TRUE,,
20130930_301010,0.544549492,0.671500178,TRUE,TRUE,,
all,0.577427665,0.664410343,TRUE,TRUE,,
20160930_301010,0.356236445,0.658472842,TRUE,TRUE,,
20171231_301010,0.656472604,0.651742604,TRUE,TRUE,,
20180630_601010,0.545599649,0.645911454,TRUE,TRUE,,
20141231_501010,0.177228291,0.64578532,TRUE,TRUE,,
20151231_301010,0.670642314,0.642552682,TRUE,TRUE,,
20160930_302020,0.602242205,0.636360708,TRUE,TRUE,,
20170930_302020,0.637635648,0.631740694,TRUE,TRUE,,
20131231_302020,0.49673626,0.617837926,TRUE,TRUE,,
20150630_101020,0.383095365,0.615150796,TRUE,TRUE,,
20180930_101010,0.433289013,0.606555407,TRUE,TRUE,,
20140930_301010,0.687035992,0.602123754,TRUE,TRUE,,
20160630_501010,0.492921606,0.594407756,TRUE,TRUE,,
20160630_201030,0.212513809,0.592020433,TRUE,TRUE,,
20170331_552010,0.573262838,0.590670826,TRUE,TRUE,,
20161231_552010,0.310779325,0.588139823,TRUE,TRUE,,
20140331_552010,0.163603589,0.587280343,TRUE,TRUE,,
20151231_302020,0.50527841,0.585355663,TRUE,TRUE,,
20141231_552010,0.555414835,0.5828744,TRUE,TRUE,,
20140331_502060,0.366174825,0.581588135,TRUE,TRUE,,
20150930_101020,0.492705905,0.569041528,TRUE,TRUE,,
20171231_101020,0.374634879,0.56807564,TRUE,TRUE,,
20170331_302020,0.41846544,0.565619845,TRUE,TRUE,,
20130930_101020,0.343336696,0.559287968,TRUE,TRUE,,
20140630_552010,0.263498013,0.555736328,TRUE,TRUE,,
20180331_201020,0.154608386,0.55493089,TRUE,TRUE,,
20190331_552010,0.251469854,0.546858597,TRUE,TRUE,,
20150331_502050,0.510646439,0.546771003,TRUE,TRUE,,
20170930_502030,0.319175942,0.542507108,TRUE,TRUE,,
20151231_552010,0.092503234,0.539935673,TRUE,TRUE,,
20171231_502030,-0.086237781,0.538761785,TRUE,TRUE,,
20160331_101020,-0.045422878,0.536943314,TRUE,TRUE,,
20170331_601010,0.4038614,0.527244816,TRUE,TRUE,,
20150930_601010,0.543386824,0.526819281,TRUE,TRUE,,
20170331_401010,0.212637944,0.510318465,TRUE,TRUE,,
20150630_302020,0.505037948,0.510251543,TRUE,TRUE,,
20180930_301010,0.30926428,0.50968944,TRUE,TRUE,,
20140331_301010,0.337928752,0.509664108,TRUE,TRUE,,
20180630_502050,0.431368577,0.508271427,TRUE,TRUE,,
20141231_101020,0.288070241,0.507682747,TRUE,TRUE,,
20161231_351020,0.292399321,0.499984584,TRUE,FALSE,,
20180930_302020,0.589892139,0.499006913,TRUE,FALSE,,
20180930_101020,0.336583337,0.498557871,TRUE,FALSE,,
20150930_351020,0.34838618,0.498178651,TRUE,FALSE,,
20161231_301010,0.288960235,0.492217907,TRUE,FALSE,,
20180630_502060,0.564389907,0.487461174,TRUE,FALSE,,
20130331_651010,0.449347851,0.486981559,TRUE,FALSE,,
20161231_651010,0.279128311,0.480771314,TRUE,FALSE,,
20160930_351020,0.546557834,0.480405923,TRUE,FALSE,,
20170930_201020,0.285250601,0.478162381,TRUE,FALSE,,
20141231_302020,0.356852833,0.477854276,TRUE,FALSE,,
20170930_651010,0.106392055,0.475084344,TRUE,FALSE,,
20181231_101020,0.389841252,0.472475248,TRUE,FALSE,,
